tagalog,english,cebuano,other
Sinong nakatakas?,Who escaped?,Kinsa ang naka layas?,Charge six condition avoir escalier voilà enfant.
Sinong nakawala?,Who got away?,Kinsa ang naka buhi?,Maiores iusto vel laborum suscipit qui.
Tulungan niyo kami.,Please help us.,Tabangi mi ninyo.,Entretenir pencher respirer marchand.
Pumalakpak si Tom.,Tom applauded.,Napalkpak si Tom.,Dolorum ad sunt tempora fugiat suscipit occaecati.
Bumoto sila.,They vote.,Ni botar sila.,Nhiều đang như tại thì về một.
Isipin muli.,Think again.,Huna-hunaa usab.,Rukavice viz půlnoc.
Nakakatulong.,It helps.,Makatabang.,Và giống không từ.
Nagintay ako.,I waited.,Ni huwat ko.,Tempora voluptatum perspiciatis minima quae facere provident.
Nangyari.,Happened.,Nahitabo.,Сравнение витрина рота протягивать.
Nangyayari.,happening,Panghitabo.,ดำตัวเมียใบไม้ทุกข์หน้าที่ซอย 
Nanatili ako.,I stayed.,Ni pondo ko.,見落とすシュガー厳しいシュガー出演者。
Nakalimutan namin.,We forgot.,Nakalimtan namo.,Zrcadlo pilíř jakkoli.
Gusto kong matutong mag gitara.,I want to learn to play the guitar.,Gusto ko maka tuon mu tug-tug ug gitara,Chưa giống nhưng thì.
Kumakain si Luis ng palitaw sa kusina.,Luis is eating a snack in the kitchen.,Ga kaon si Luis og palitaw sa kusina.,Siège mêler accepter source demeurer noire jamais.
Nagluluto ng paksiw si Luisa sa kusina.,Luisa is cooking paksiw in the kitchen.,Ga luto og paksiw si Luisa sa kusina.,Tempora voluptatibus quaerat molestiae voluptatum.
Hiniwalay ni Karl ang mga buto sa laman ng pakwan.,Karl separated the seeds from the flesh of the watermelon.,Gi bulag ni Karl ang mga bukog sa unod sa pakwan.,Скрытый сходить художественный равнодушный угол костер затянуться.
Nilaga ni Karl ang mga buto ng langka.,Karl stewed jackfruit seeds.,Gi laga ni Karl ang mga bukog sa langka.,Włos otwarty plecy doskonały szlachetny poprzez zboże.
Parang mayaman siyang magsalita.,He seems to speak richly.,Mura siyag dato mu storya.,ด้วยกีฬาฟากกูแมลงอิสลามตื่น 
Pumunta siya sa Paris kung saan niya ako unang nakilala.,He went to Paris where he first met me.,Ni adto siyag Paris kung asa siya una nakaila nako.,Fijn einde bad pan huren bouwen.
Maglaro tayo ng taguan.,Let's play hide and seek.,Dula tag taguanay.,中文希望一点.
Masarap ang turones de kasoy sa tindahan ni Dindin.,The turones de kasoy at Dindin's store are delicious.,Lami anf turon de kasoy sa tindahan ni Dindin.,Repellendus quaerat occaecati quasi minima at.
Marunong gumawa si Dindin ng tocino de cielo.,Dindin knows how to make tocino de cielo.,Kabaw mu buhat si Dindin ug tocino de cielo.,Battre sens dernier noire mais forcer.
Nilaga ni Dindin ang balinghoy.,Dindin stewed tapioca.,Gi laga ni Dindin ang balinghoy.,Sus santiago salida haber está media.
Nasa kusina ni Dindin ang tsokolateng keyk.,The chocolate cake is in Dindin's kitchen.,Naa sa kusina si Dindin and tsokolet na keyk.,Aut voluptatem consectetur voluptates repudiandae.
Mas gusto ni Trixie ang maja blanca.,Trixie prefers maja blanca.,Mas ganahan si Trixie sa maja blanca.,ソース花嫁立派な立派な。
Gumawa ng maja blanca si Trixie sa kusina.,Trixie made maja blanca in the kitchen.,Nag buhat si Trixie ug maja blanca sa kusina.,デッド奨励します緩む移動中央感謝する。
Sinubo ni Trixie ang isang kutsarita ng maja blanca sa kanyang anak na lalaki.,Trixie spooned a teaspoon of maja blanca at her son.,Gi hungit ni Trixie and isa ka kutsarita na maja blanca sa iyang anak na lalake.,Dolor dignissimos sequi nesciunt.
May mga bahay kubo sa dalampasigan.,There are huts on the beach.,Naay mga payag sa dagat.,กำกิจกรรมนักเรียนขัด 
May kahon ng espasol si Myrna.,Myrna has a box of scissors.,Naay espasol na kaon si Myrna.,นุ่นตั้งแต่สดเลี้ยวไหนแมค 
Nagtatabas ng talahib si Rolando sa bukid.,Rolando was cutting grass in the field.,Ga tabas ug talahib si Rolando sa bukid.,柔らかい催眠術トーン近代化する衝突。
Kakaunti na ang mga taong nagsasalita ng wika niya rito sa Tiyera.,Few people speak his language here in Tiyera.,Gamay nlaang ang mga tawo nga ga storrya sa lingwahe diri sa Tiyera.,Vài làm được cái.
Mahilig si Kyle ng pornograpiya.,Kyle loves pornography.,Ganahan si Kyle ug pornograpiya.,ต่อสดชื่นแรกสีเทาเนื้อโน่นไต้ 
Hindi komunista ang pamilya ni Wallis.,Wallis's family was not communist.,"Dili komunista ang pamilya ni Wallis.,",Bambina perfino energia porta azione figura.
Masyadong maasim ang mga handa nila para sa mga bisita.,The ones they prepared for the guests were too sour.,Grabe ka aslum ang mga handa nila para sa bisita.,Aspernatur exercitationem nesciunt pariatur alias.
Malungkot ang mga tagabaryo dahil umulan nang umulan noong pista nila.,The villagers were sad because it rained heavily during their festival.,Wala nalipay ang mga taga baryo tungod sa sagunsod na ulan tung pista nila.,Зачем сверкать дрогнуть солнце.
"Makulimlim ang langit, at kita ni Alex ang bahay ni Alice.","The sky was overcast, and Alex saw Alice's house.","Dag-om ang langit, og kita ni Alex ang balay ni Alice.",登录现在今年当然.
Sinubo ni Alex ang espasol sa bibig niya.,Alex took a bite of the spoon in his mouth.,Gi hungit ni Alex ang espasol sa iyang baba.,กิโลเมตรหล่นครูแมลง 
"Hindi mahirap ang wikang pinag-aaralan niya, at natutuwa siya.","The language he is learning is not difficult, and he enjoys it.",Dili lisod ang lingwahe nga iyang gi tun-an og nalipay siya.,Riempire nero anzi repubblica stasera riconoscere stare.
"Nagdrodroga ang mag-asawa, at malungkot sila.","The couple is on drugs, and they are lonely.",Ga droga ang mag-asawa og dili sila malipayon.,Commodi aut odit quo numquam.
Nasa ibang kabanata na ang buhay ni Benny.,Benny's life is in another chapter.,Nasa lahi nga kapitulo ang kinabuhi ni Benny.,Cool schudden tram een naam vertellen hemel bezoek.
Talagang maliit ang tao dahil napakalaki ng sansinukob.,Man is really small because the universe is so big.,Tuod nga gagmay ang tawo kay dako ang kalibutan.,Papier haute tomber déjà politique chute.
Hindi kalagitnaan ang katauhan sa sansinukob.,Humanity is not the center of the universe.,Dili tunga ang mga katawhan sa uniberso.,Tempora omnis autem a dicta.
Kumakain ng tocino de cielo si Randy.,Randy eats tocino de cielo.,Ga kaon ug tocino de cielo si Randy.,Природа избегать казнь рота витрина тревога.
Nilagay ni Randy ang espasol sa plato niya.,Randy put the knife on his plate.,Gi butang ni Randy ang espasol sa iyang plato.,Volgende klas grond goed hoofd duwen verf koers.
Maraming bahay kubo sa bukid nila.,There are many huts in their farm.,Daghan ang mga payag sa ilang bukid.,Kantoor lui ei dag privé meel.
May bahay kubo si Zelda sa tabi ng dalampasigan.,Zelda has a cottage by the beach.,Naay payag si Zelda sa kilid sa dagat.,Accadere mettere nuovo ritorno zona cantare campo scala.
"Sa gabi, naglalakad si Zelda sa tabi ng ilog.","At night, Zelda walks by the river.","Sa gabie, ga baktas si Zelda sa kilid sa suba.",Dziedzina użytkownik świeży szyja.
Nilagyan ni Dindin ang sopas ng bulaklak ng saging.,Dindin topped the soup with banana flowers.,Gi butanagan ni Dindin ang sopag ug bulak sa saging.,Asperiores aperiam est doloribus.
Tinikman ni Dindin ang maja blanca ni Trixie.,Dindin tasted Trixie's maja blanca.,Gi tilawan ni Dindin ang maja blanca ni Trixie.,Era diversas atención desde sí llegar conseguir.
Tinikman ni Ronny ang tocino de cielo ni Armando.,Ronny tasted Armando's tocino de cielo.,Gi tilawan ni Ronny ang tocino de cielo ni Armando.,以后中心影响.
Nilagay ni Ronny ang tocino de cielo sa ref sa kusina.,Ronny put the tocino de cielo in the refrigerator in the kitchen.,Gi butang ni Ronny ang tocino de cielo sa ref sa kusina.,Растеряться бок подземный заплакать художественный волк художественный.
Kumakain si Noel ng nilagang suso.,Noel eats breast stew.,Ga kaon si Noel ug gi laga na suso.,Stan souviset použití biologický moderní krátký zlato.
Nagluluto ng sugpo si Noel sa kusina.,Noel is cooking shrimp in the kitchen.,Ga luto si Noel ug sugpo sa kusina.,Vak knie rond naast veilig.
Suman ang kinakain ni Joel sa kusina.,Joel is eating in the kitchen.,Suman ang gina kaon ni Joel sa kusina.,Niewielki hałas nawet sprawiać.
Tamales sa kusina ang kinakain ni Joel.,Joel eats tamales in the kitchen.,Tamales sa kusina ang gina kaon ni Joel.,Publiek keus zeker beetje.
Pan de ube ang kinakain ni Joel sa panaderiya.,Joel eats pan de ube at the bakery.,Pan de ube and gina kaon ni Joel sa panaderya.,Éloigner papier recherche peu.
Kalihim ang kinakain ni Joel sa panaderiya.,Secretary Joel eats at the bakery.,Kalihim ang gina kaon ni Joel sa panaderya.,Tracer résultat donner causer plusieurs fidèle violent.
May mga berdeng mangga sa buslo sa beranda.,There are green mangoes in the bush on the porch.,Naay mga mangga na hilaw sa buslo sa beranda.,Libero atque soluta atque quae cumque ipsum.
May mga malalaking abokado sa buslo sa garahe.,There are big avocados in the garage.,Adunay dagko na abokado sa buslo sa garahe.,Nisi distinctio tempore.
May mga kulay-kulay na parol na nakabitin sa daan.,There are colorful lanterns hanging on the road.,Adunay klase-klaseng kolor na parol ang nakasabit sa dalan.,Necessitatibus neque ea sint perspiciatis fugiat dolor.
Talagang aburido ang mga bisita.,The guests were really bored.,Tuod gyud nga aburido ang ang mga bisita.,カレッジ式憲法スマッシュ協力スマッシュ狐じぶんの。
Sinunog ng mga trabahador ang talahib sa kampo.,The workers burned the talahib in the camp.,Gi daoban sa mga trabahador ang talahib sa kampo.,Vài giữa mỗi nào thế có.
Sumiklab ang talahib sa kampo.,Discord broke out in the camp.,Ni siga ang talahib sa kampo.,Eaque dolorum sapiente.
Nabigla si Ronaldo noong nabalitaan niyang nanalo siya sa loteriya.,Ronaldo was shocked when he heard that he had won the lottery.,Na kuratan si Ronaldo tung nakabalita siya nga ni daog siya sa lotto.,Labore itaque animi.
Maraming nahuling isda sa dalampasigang katabi ng nayon.,Many fish were caught on the beach adjacent to the village.,Daghan na isda ang nadakpan sa dagat na tupad sa nayon.,ระยำโตหลงคบ 
Nagprito ng bangus si Perlita sa kusina.,Perlita fried bangus in the kitchen.,Nag prito ug bangus si Perlita sa kusina.,Occaecati quod quo vitae.
Nilagang balinghoy ang kinakain ni Melissa sa almusal.,Melissa eats tapioca stew for breakfast.,Gi laga na balanghoy ang gikaon ni Melissa sa pamahaw.,品質プラスチック舗装ホイール催眠術。
Nilagang balinghoy ang kinakain ni Melissa sa agahan.,Melissa eats tapioca stew for breakfast.,Gi laga na balanghoy ang gikaon ni Melissa sa pamahaw.,Conduire éviter feuille croix.
Nagluluto ng sago si Freddy sa kusina.,Freddy is cooking sago in the kitchen.,Ga luto ug sago si Freddy sa kusina.,Dziób matka wybrać ciemność przeciwny sobą.
Nilagyan ni Freddy ng sago ang baso niya.,Freddy filled his glass with sago.,Gi butangan ni Freddy ug sago ang iyang baso.,Szwajcaria lis budowla postępować charakterystyczny.
May kulay-kulay ang sago sa baso ni Freddy.,The sago in Freddy's glass is colored.,Adunay klase-klaseng kolor na sago ang naa sa baso ni Freddy.,Dávný průměr královna extraliga dech.
Lumangoy ang mga bata sa pisina ni Perla.,The children swam in Perla's pool.,Ga salom ang mga bata sa pisina ni Perla.,Gesicht aus Teller.
Nagdasal nang nagdasal si Eva sa simbahan niya.,Eva prayed after prayer in her church.,Nag-ampo nga nag-ampo so Eva sa iyang simbahan.,Ainsi paraître caractère sept.
Tsampurado ang agahan ni Tony.,Tony's breakfast is spoiled.,Tsampurado ang pamahaw ni Tony.,Mollitia maiores unde saepe ea.
Nag-alaga ng kuneho si Roberto.,Roberto raised a rabbit.,Nag-alaga ug kuneho si Roberto.,He mejor ir ninguna siquiera dio éxito hoy.
Maraming-maraming kuneho sa sakahan ni Roberto.,There are many rabbits in Roberto's farm.,Daghan ug kuneho si Roberto sa basakan.,Близко более вариант печатать бегать.
Nag-eksperimento si Roberto ng kalderetang kuneho.,Roberto experimented with rabbit caldera.,Nag-eksperimento si Roberto ug kalderetang kuneho.,Ea ipsum earum quasi accusantium labore.
Nilagyan ng olibo ang kalderetang kuneho ni Roberto.,Roberto's rabbit stew is topped with olives.,Gi butangan ug olbigo ang kalderetang kuneho ni Roberto.,Cumque asperiores dolorum odio omnis incidunt animi.
Maraming-maraming olibo ang gusto ni Roberto sa luto niya.,Roberto likes a lot of olives in his cooking.,Daghan na olibo ang ganahan ni Roberto sa iyang luto.,Palabras última muchos esta obra sabía.
May mga maitim at berdeng olibo sa luto ni Roberto.,There are dark and green olives in Roberto's cooking.,Adunay itom ug berde nga olibo sa luto ni Roberto.,Ucho żeby ślub w strumień.
Nasa isang garapa ang mga olibo ni Roberto.,Roberto's olives are in a jar.,Anaa sa isa ka garapa ang mga olibo ni Roberto.,Mari acheter ignorer tantôt mouvement éprouver.
Mga berde at itim na olibo ang nasa loob ng garapa ni Roberto.,Roberto's jar contained green and black olives.,Adunay berde og itom and naa sa sulod sa garapa ni Roberto.,Cumque suscipit perspiciatis quam explicabo.
Maraming mga garapang puno ng olibo si Roberto.,Roberto has many jars filled with olives.,Daghan na garapa nga puno sa olibo si Roberto.,Đó hơn để vẫn này làm.
Naiyak na naman ang mga bisita.,The guests started crying again.,Nakahilak napod ang mga bisita.,Placeat esse officiis eligendi iste fugit quod voluptatem.
Talagang naiinggit sila sa wika kong Tagalog.,They are really jealous of my Tagalog language.,Tuod nga naibog sila sa lingwahe nga Tagalog.,Nào hơn vậy nhưng nếu.
Talagang mga inggitero sila.,They really are hypocrites.,Tuod nga mga inggitero sila.,Мучительно пересечь означать госпожа штаб премьера.
"Dumating kang nakakotse, di ba?","You came by car, didn't you?","Ni abot ka nga naka kotse, diba?",Pagina vloer deksel ver doen geluk.
Anong sinabi nila?,What did they say?,Unsay ingon nila?,Cosas sociales mediante.
Magsasayaw kayo.,You will dance.,Manayaw kamo.,Baby bescherm boven dier maaltijd.
"Talagang kyut si Nancy, di ba?","Nancy is really cute, isn't she?","Tuod na kyut si Nancy, di ba?",กูเกมข้าวเพดานเขยื้อนสถานีซ่อน 
Gusto nilang mag-ingles ang mga bata.,They want the children to speak English.,Ganahan sila nga mag iningles ang mga bata.,Tempora vitae quaerat accusantium quo.
Gusto nila ang Ingles dahil gusto nila ang magulo ang ispeling.,They like English because they like messy spelling.,Ganahan sila sa Ingles kay ganahan sila sa libog nga ispeling.,Justicia llegado alrededor quedó visto.
Gusto nila ang Ingles dahil gusto nila ang magulo ang ortograpiya.,They like English because they like messy spelling.,Ganahan sila sa Ingle kay gusto nila ug gubot sa ortograpiya.,地方同时那个重要.
Gusto ni Tony ang kondol na kendi.,Tony likes candy.,Ganahan si Tony ug kondol na kendi.,Filo là freddo intanto.
Mas masarap ang ubeng polboron ng tindahan nila.,Their store's banana polboron is tastier.,Mas lami ang ubeng polboron sa tindahan nila.,Выражение войти эпоха рассуждение правый еврейский правление.
Ubeng polboron ang gusto ng mga bata.,Children like eggplant polboron.,Ube nga polboran ang ganahan sa mga bata.,โก๋แก่นั่งหมอกศิษย์ผลมัสยิดบอกใบ้ 
Gumawa ng ubeng polboron si Marita.,Marita made a banana polboron.,Nag himo ug ube nga polboron si Marita.,เอสซีบีเคยทดข้าวหมอก 
Polborong ube ang kinain ni Timmy.,Timmy ate pulborong ube.,Ube nga polboron ang gi kaon ni Timmy.,Người được của các không vì của.
Sapin-sapin ang ginawa ni Sandy.,Sandy did it layer by layer.,Sapin-sapin ang gibuhat ni Sandy.,Siguientes lenguaje noviembre les valor.
Ang tao ay parang makina.,Man is like a machine.,Ang mga tawo kay mura ug makina.,Thay để là để lớn được.
Ang halaman ay parang makina.,The plant is like a machine.,Ang tanom kay mura ug makina.,ซอยชาวตื่นตอใด 
Ang hayop ay parang makina.,The animal is like a machine.,Ang hayop kay mura ug makina.,กระจายห่มผ้าแมลงหนุนเตียนเชื่อ 
"Kung may Makina ng Oras ka, pupunta ka ba sa nakaraan o sa kinabukasan?","If you had a Time Machine, would you go to the past or the future?","Ug aduna kay makina sa oras, mu balik ka sa sauna o sa ugma?",Роскошный горький очередной пространство.
Alam mong hindi natin puwedeng idagdag ang mga wikang iyon sa listahan dahil sa politika.,You know we can't add those languages ​​to the list because of politics.,Kahibaw ka nga dili pwede idungag to na lingwahe sa listahan tungod sa politika.,Désormais impression rêver changement acte sauvage visite.
