tagalog,english,cebuano,kapampangan,bicolano
Nawala na ang salamangka sa buhay ninyo.,The magic is gone from your life.,"Nawagtang na ang lingla sa inyong kinabuhi,",Ing magic ala ne keng bie mu.,Nawara na an mahika sa saimong buhay.
Nawala na ang madyik sa buhay ninyo.,The magic is gone from your life.,Nawagtang na ang mahika sa inyong kinabuhi.,Ing magic ala ne keng bie mu.,Nawara na an mahika sa saimong buhay.
Malungkot sila dahil di nila gusto ang relihiyon nila.,They are sad because they don't like their religion.,Masub-anon sila tungod kay dili nila gusto ang ilahang relihiyon,Malungkut la uling e ra buri ing karelang relihiyon.,Namomondo sinda huli ta habo ninda sa saindang relihion.
Wala na silang ganang kumain ng mansanas.,They don't want to eat apples anymore.,Wala na silay kahinam mukaon ug mansanas.,E da na buring mangan mansanas.,Habo na nindang magkakan nin mansanas.
Umiinom siya ng isang tasa ng tsokolate sa labas ng kastilyong bato.,He was drinking a cup of chocolate outside the stone castle.,Gainom siya ug isa ka tasa nga tsokolate sa gawas sa iyang kastilyo nga gama sa bato.,Minum yang metung a tasang tsokolati keng lual ning kastilyung batu.,Nag-iinom siya nin sarong tasang tsokolate sa luwas kan kastilyong gapo.
Naghihintay na lamang sila ng malaking katastrope dahil nabuwibuwisit na sila sa buhay nila.,They are just waiting for a big catastrophe because they are getting tired of their lives.,Gahuwat na lamang sila ug ug dakong katalagman tungod kay napul-an na sila sa ilang kinabuhi.,Manenaya la mung maragul a sakuna uling mapagal na la king bye ra.,Naghahalat na sana sinda nin dakulang kapahamakan huli ta napapagal na sinda sa saindang buhay.
"Pera, pera, pera na lamang ang iniisip nila.","All they think about is money, money, money.","Kwarta, kwarta, kwarta mao nalang ang nasa ilang hunahuna.","Ing isipan da mu pera, pera, pera.","An iniisip sana ninda iyo an kwarta, kwarta, kwarta."
Naging robot na lamang sila.,They just became robots.,Nahimo na silang robot.,Meging robot la mu.,Nagin robot sana sinda.
Malungkot sila dahil gusto nilang tumira sa isang malayong bansang mas mayaman.,They are sad because they want to live in a far richer country.,Masub-anon sila tungog nangandoy sila nga mupuyo sa layong lugar diin mas dato.,Malungkut la uling buri da ing manuknangan la king mas mabandi nang bansa.,Namumundo sinda huling gusto nindang mag-istar sa mas mayaman na nasyon.
Ayaw nilang isipin ang mga robot-robot.,They don't want to think about robots.,Dili nila gusto huna-hunaon ang mga robot-robot,E da buring isipan ing robot.,Habo nindang mag-isip nin mga robot.
Tinapos niya ang pitsa niya dahil papuntang sentro sila.,He finished his pizza because they were going to the center.,Iyahang gihurot ang iyahang pitsa tungod kay muadto sila sa sentro.,Ayari ne ing pizza na kasi munta la keng center.,Tinapos niya an saiyang pizza ta pasiring na sinda sa sentro.
Nagpipintura siya ng tanaw ng bukid sa labas ng kanyang bahay.,He was painting a view of the farm outside his house.,Nagpintal siya og laraw sa bukid gawas sa iyang balay.,Magpinta ya keng marangle keng lual ning bale na.,Nagpipinta siya nin tanawon kan oma sa luwas kan saiyang harong.
May tinik sila sa dibdib nila.,They have thorns in their chest.,Adunay tunok sa ilang mga dughan.,Atin lang suksuk keng dibdib da.,Igwa sinda nin mga tunok sa saindang daghan.
May luha ang mga salita nila.,There are tears in their words.,Adunay luha ang ilahang mga pulong.,Ating luha karing karelang amanu.,May mga luha sa saindang mga tataramon.
Parati silang nakasimangot.,They are always frowning.,Pirme silang nagmug-ot,Parati lang makakunot buntuk.,Pirmi sindang nagkukunot an noo.
Mas gusto ni Jhong ang Budismo sa lahat ng mga relihiyong pinag-aralan niya.,Jhong preferred Buddhism among all the religions he studied.,Sa tanan tanang relihiyong nga natun-an ni Jhong mas ganahan gyud siya sa Budismo.,Mas buri nang Jhong ing Buddhism kareng eganaganang relihiyon a pegaralan na.,Mas gusto ni Jhong an Budismo sa gabos na relihiyon na saiyang pinag-adalan.
Nag-aral si Bing ng mga relihiyong Animista.,Bing studied Animist religions.,Nagtuon si Bing og mga relihiyong Animista.,I Bing megaral yang relihiyon a Animista.,Si Bing nag-adal nin mga relihiyon na Animista.
"Kung mamatay siya, sa ibang lalawigan ng Laniakea ba ang papunta niya?","If he dies, is he going to another province of Laniakea?","Kon siya mamatay, sa laing probinsya sa Laniakea ba ang padulngan niya?","Nung mate ya, munta ya king aliwang lalawigan ning Laniakea?","Kung siya mamatay, moadto ba siya sa laing probinsya sa Laniakea?"
Parang langit ba ang ibang lalawigan ng Laniakea?,Is the other province of Laniakea like heaven?,Sama ba sa langit ang ubang probinsya sa Laniakea?,Ing aliwang lalawigan ning Laniakea kalupa ne ning banua?,An saro pang probinsya nin Laniakea garo langit?
Solidong ilusyon ba ang buong Laniakea?,Is all of Laniakea a solid illusion?,Sumpok nga ilusyon ba ang tibuok Laniakea?,Ing Laniakea metung yang solidung ilusyon?,An gabos daw na Laniakea sarong solidong ilusyon?
Ano ang nasa labas ng Laniakea?,What's outside of Laniakea?,Unsa ang naa gawas sa Laniakea?,Nanu pu ing lual ning Laniakea?,Ano an yaon sa luwas kan Laniakea?
Tipiko ba ang ating lalawigan ng Laniakea?,Is our province of Laniakea typical?,Tipikal ba ang atong Probinsyang Laniakea?,Tipikal ba ba ang ating lalawigang Laniakea?,Tipikal daw an satuyang probinsya nin Laniakea?
Ang katauhan ay mga unggoy pa at nag-eebolb pa.,Humans are still apes and still evolving.,Ang katawhan kay mga unggoy nga padayon nagalambo.,Deng tau unggoy la pa at mag evolve la pa.,An mga tawo mga unggoy pa asin nag-eevolve pa.
Ang katauhan ay mga matsing pa at nag-eebolb pa.,Humans are still young and developing.,Ang katawhan kay mga unggoy nga padayon nagalambo.,Deng tau kayanakan la pa at mumusbung la pa.,An mga tawo hoben pa asin nagtatalubo pa.
Tama siya na parang hindi Afghanistan dito.,He is right that it is not Afghanistan here.,Sakto siya nga dili kini sama sa Afghanistan.,tutu ya na ali ya afghanistan keni.,Tama siya na bako ining Afghanistan digdi.
Dominante ang kaliwang utak nila.,Their left brain is dominant.,Dominante ang wala nga parte sa ilahang utok.,Ing karelang utak a kayli ing dominanti.,An saindang walang hutok iyo an nangingibabaw.
Kontrol ng kaliwang utak ang kanan ng katawan at ng kanang utak ang kaliwa ng katawan.,The left brain controls the right side of the body and the right brain controls the left side of the body.,Kontrolado sa wala nga parte sa utok ang tuo nga parte sa utok ug ang tuo nga parte sa utok kontrolado ang wala nga parte sa lawas.,Ing kayli nang utak ing magkontrol king wanan nang dake ning katawan at ing wanan nang utak ing magkontrol king kayli nang dake ning katawan.,An wala na hutok iyo an nagkokontrol kan toong parte kan hawak asin an toong hutok iyo an nagkokontrol kan wala na parte kan hawak.
Uminom siya ng berdeng tsa sa hardin niyang puno ng gumamela.,He drank green tea in his gumamela garden.,Nag-inom siya ug lunhaw nga tsa sa hardin niyang napuno og gumamela.,Minum yang green tea king mula nang gumamela.,Nag-inom siya nin berdeng tsa sa saiyang tatamnan nin gumamela.
"Sa Araw ni Zamenhof, maligaya kaming mga Esperantisto.","On Zamenhof Day, we Esperantists are happy.","Sa adlaw ni Zamenhof, malipayon kaming mga Esperantisto.","King Aldo ning Zamenhof, itamung Esperantist masaya tamu.","Sa Aldaw nin Zamenhof, maogma kitang mga Esperantista."
"Sa Araw ni Zamenhof, kumain ako ng pitsa para sa selebrasyon.","On Zamenhof's Day, I ate pizza to celebrate.","Sa adlaw ni Zamenfor, mikaon ako ug pitsa alang sa kasaulogan.","keng aldo nang zamenhof, mengan kung pizza para mag celebrate.","Kan Aldaw ni Zamenhof, nagkakan ako nin pizza tanganing magselebrar."
Berdeng keso ang nasa loob ng tinapay niya.,Green cheese was inside his bread.,Lunhaw nga keso ang naa sulod sa iyang pan.,Atin yang berding keso keng kilub ning tinape na.,An berdeng keso yaon sa laog kan saiyang tinapay.
Berdeng rosas ang nasa paligid ng hardin ni Bing.,Green roses are all around Bing's garden.,Lunhaw nga rosas ang naa sa palibot sa hardin ni Bing.,Berdi lang rosas king paligid ning mula nang Bing.,Mga berdeng rosas an nakapalibot sa hardin ni Bing.
Ang berdeng rosas ay mutasyon.,The green rose is mutation.,Ang lunhaw nga rosas kay mutasyon.,Ing berding rosas metung yang mutation.,An berdeng rosas sarong mutasyon.
Nag-aaral si Dodong ng Klingon para sa kanyang klase sa dramatika.,Dodong is studying Klingon for his drama class.,Nagtuon si Dodong og Klingon alang sa iyang klase sa dramatika.,I Dodong magaral yang Klingon para keng drama nang klase.,Si Dodong nag-aadal nin Klingon para sa saiyang klase sa drama.
Hindi kailangang magbati araw-araw.,No need to say hello every day.,Dili kinahanglan nga makig abi-abi kada adaw.,E na kailangan ing kumusta aldo-aldo.,Dai na kaipuhan magkumusta aroaldaw.
Gusto mong magbati nang magbati dahil aburido ka.,You want to say hello because you're bored.,Ganahan ka nga mag sige og abi-abi tungod kay magul-anon ka.,Buri mung kumusta uling mamura ka.,Gusto mong kumustahon ta nasusupog ka.
Natutunan ni Ben ang paggawa ng apoy na hindi gamit ang posporo.,Ben learned how to make fire without matches.,Nakakat-on si Bensa pagmugna ug kalayo dili pina agi sa posporo.,I Ben mebyasa yang gawang api a alang posporo.,Si Ben nakanuod kun pano maggibo nin kalayo na mayong posporo.
May mali sa calculator na ito.,There is something wrong with this calculator.,Adunay sayop niini nga igalkulo.,Atin mali kening calculator ayni.,May sala sa kalkulator na ini.
Sa tingin ko'y mananatili ako.,I think I will stay.,Sa akong panan-aw magpabilin ako.,isipan ku manatili ku.,Sa hiling ko magdadanay ako.
Ang Burj Khalifa ay ang pangkasalukuyang pinakamataas na gusali sa mundo.,Burj Khalifa is the current tallest building in the world.,Ang Burj Khalifa ang pagkaakaron inilang kinatas-ang dakbalay sa tibuok kalibutan.,Ing Burj Khalifa iya ing pekamatas a gusali keng yatu.,An Burj Khalifa iyo an presenteng pinakahalangkaw na edipisyo sa kinaban.
Mayroong mga isla sa dagat.,There are islands in the sea.,Adunay mga pulo sa dagat.,Atin yang pulu keng dagat.,May mga isla sa dagat.
Talagang naiinggit sila sa mga mas mayaman kaysa sa kanila.,They are really jealous of those who are richer than them.,Nasina gyud sila sa mga taw nga labaw pang dato kaysa nila.,Mainggit la talaga kareng mas mabandi kesa karela.,Naiinggit talaga sinda sa mga mas mayaman pa sainda.
Parang wika ng mga kulubot na ang wika nila.,Their language is like the language of wrinkles.,Ang ilahang pinulungan sama sa pinulungan sa mga kulubot.,Ing karelang amanu anti ya mong amanu ding kulut.,An saindang tataramon garo tataramon nin mga kulubot.
Hindi nila naiintindihan ang ibig sabihin ng kayamanan.,They do not understand the meaning of wealth.,Wala nila masabti ang kahulogan sa bahandi.,E ra aintindian ing kabaldugan ning pibandian.,Dai ninda nasasabotan an kahulogan nin kayamanan.
Nalalamigan sila sa mga salita ng wika nila.,They get cold from the words of their language.,Nabugnawan sila sa mga pulong sa iyang pinulongan.,Merimla la kareng amanu ning karelang amanu.,Nalipot sinda sa mga tataramon kan saindang tataramon.
Ayaw nilang magkaanak at gusto na ang katapusan dahil pagod na pagod na sila.,They don't want to have children and want the end because they are so tired.,Wala na sila mangandoy nga magkaanak ug ganahan na lang sila mahuman ang tanan tungod kay gikapoy na sila og maayo.,E da na buring mika-anak at buri da ing kawakasan uling asna kapagal.,Habo nindang magkaaki asin gusto ninda an katapusan huli ta pagal na sinda.
Sa gubat ng Wagalang ay mga puno ng sinag-bunga.,In the forest of Wagalang are fruit trees.,Sa lasang sa Wagalang adunay mga punoan sa sinag-bunga,King gubat ning Wagalang atin lang tanaman a mamunga.,Sa kagubatan kan Wagalang mga kahoy na namumunga.
Magandang umaga!,Good morning!,Maayong buntag!,Mayap a umaga!,Marhay na aga!
Bakit ang lungkot lungkot mo?,Why are you sad?,Nganong masub-anon man ka kaayo?,Ot malungkut ka?,Tano ta mamundo ka?
Gusto nilang basahin ang mga obra ni Talakong ng planetang Mimeng.,They want to read the works of Talakong of the planet Mimeng.,Ganahan sila nga basahon ang buhat ni Talakong nga taga lawangitang Mimeng.,Buri da lang abasa reng obra nang Talakong ning planetang Mimeng.,Gusto nindang basahon an mga obra ni Talakong kan planetang Mimeng.
Binabasa niya ang mga sulat ni Saratok ng planetang Sengkong.,He was reading the letters of Saratok of the planet Sengkong.,Iyang gina basa ang mga suwat ni Saratok nga taga lawangitang Sengkong.,Babasan na la ring sulat nang Saratok ning planetang Seng.,Nagbabasa siya kan mga surat ni Saratok kan planetang Seng.
Relihiyoso ang mga tao sa bundok.,Mountain people are religious.,Relihiyoso ang mga katawhan sa bukid.,Deng tau keng bunduk relihiyosu la.,An mga tawo sa bukid relihiyoso.
Nagpuputo si Lina sa kusina.,Lina is cooking in the kitchen.,Nag puto si Lina sa kusina.,Maglutu ya i Lina king kusina.,Nagluluto si Lina sa kusina.
Nagpapandesal si Pedro sa kusina.,Pedro was praying in the kitchen.,Nag pandesal si Pedro sa kusina.,Manalangin ya i Pedro king kusina.,Namimibi si Pedro sa kusina.
Nagpapansit si Celeste sa kusina.,Celeste is making noodles in the kitchen.,Nag pansit si Celeste sa kusina.,Gagawa yang pansit i Celeste king kusina.,Si Celeste naggigibo nin pansit sa kusina.
Nag-aadobo si Ben sa kusina.,Ben is pickled in the kitchen.,Nag adobo si Ben sa kusina.,I Ben atsara ya keng kusina.,Si Ben inaatsara sa kusina.
Nagkukutsinta si Enrico sa kusina.,Enrico was making love in the kitchen.,Nag kutsinta si Enrico sa kusina.,Maglolo ya i enrico keng kusina.,Si Enrico nag-iiribahan sa kusina.
Nagkakalamay si Nida sa kusina.,Nida was shaking hands in the kitchen.,Nag kalamay si Nida sa kusina.,Magkamay ya i Nida keng kusina.,Nagkakapotan nin kamot si Nida sa kusina.
Gumagawa ng nilupak si Wesley sa kusina.,Wesley is making pottery in the kitchen.,Nag gama og nilupak si Wesley sa kusina.,I Wesley gagawan neng pottery keng kusina.,Si Wesley naggigibo nin mga pottery sa kusina.
Gumagawa ng Sans Rival si Crystal sa kusina.,Crystal makes Sans Rival in the kitchen.,Nag gama ug Sans Rival si Crystal sa kusina.,Gagawa yang Sans Rival i Crystal keng kusina.,Ginigibo ni Crystal si Sans Rival sa kusina.
Nagluluto ng bangus si Dindo sa kusina.,Dindo is cooking bangus in the kitchen.,Nag luto og bangus si Dindo sa kusina.,Maglutu yang bangus king kusina i Dindo.,Nagluluto si Dindo nin bangus sa kusina.
Nagpopolboron si Ebyang sa kusina.,Ebyang was whispering in the kitchen.,Nag polboron si Ebyang sa kusina.,Bulong-bulong ya i Ebyang king kusina.,Nagbubulong-bulong si Ebyang sa kusina.
Nagleletseplan si Binda sa kusina.,Binda is cooking in the kitchen.,Nag letseplan si Binda sa kusina.,Maglutu ya i Binda king kusina.,Nagluluto si Binda sa kusina.
Gumagawa ng tocino de cielo si Nerria.,Nerria makes tocino de cielo.,Nag gama og tocino de cielo si Nerria.,I Nerria gagawang tocino de cielo.,Si Nerria naggigibo nin tocino de cielo.
Nagsasansribal si Calla sa kusina.,Calla was arguing in the kitchen.,Nag sanribal si Calla sa kusina.,I Calla makipagdebate ya keng kusina.,Naglalis si Calla sa kusina.
Gumagawa ng apol dyus si Tria sa kusina.,Tria is making apple juice in the kitchen.,Nag gama og apol dyus si Tria sa kusina.,Gagawa yang apple juice i tria keng kusina.,Si Tria naggigibo nin duga nin mansanas sa kusina.
Gumagawa ng pitsi-pitsi si Gina sa kusina.,Gina is making lace in the kitchen.,Nag gama og pitsi-pitsi si Gina sa kusina.,Gagawa yang lace i Gina king kusina.,Si Gina naggigibo nin lace sa kusina.
Nagpapalitaw si Tony sa kusina.,Tony was pacing in the kitchen.,Nagpalitaw si Tony sa kusina.,I Tony maglakad ya keng kusina.,Si Tony naglalakawlakaw sa kusina.
Nagsasandwits na lamang si Marco.,Marco just had a sandwich.,Nag sandwits na lang si Marco.,Mengan yang sandwich i Marco.,Nagkakan lang nin sandwich si Marco.
Naghahamburger si Anna sa restawran.,Anna is eating a hamburger at the restaurant.,Nag hamburdyer si Anna sa restawran.,Mamangan yang hamburger i Anna king pipanganan.,Si Anna nagkakakan nin hamburger sa restawran.
Nagkakape si Francis sa kapehan.,Francis is having coffee at the cafe.,Nangape si Francis sa kapehanan.,Magkape ya i Francis keng cafe.,Si Francis nagkakape sa kapehan.
Nagtsatsa si Mirabel sa tsahan.,Mirabel sipped at the tea.,Nag tsa si Mirabel sa Tsaahanan.,Migsipsip ya i Mirabel king tsa.,Mihigop si Mirabel sa tsa.
